x_centroid,y_centroid,brightness
8156.69869528688,4664.22782821136,3118032
502.255115016661,8594.3060746317,3104464
4297.94131733185,7003.46803290058,3101184
7246.75613371632,8655.07186127625,3098272
3040.20315223252,5893.36554319681,3092128
10916.5264560618,7856.48870852732,3086368
7637.93446381237,6509.13301382398,3082224
7740.71035573441,4500.50640744766,3074160
4333.89762656132,5650.9325554,3066368
11756.6332873086,5594.52065446247,3062592
8614.3929015661,8663.43600095156,3061264
1695.3337771707,4392.22125781479,3060016
3860.66183288921,5798.40381477944,3057888
11099.3358582604,2110.87202640562,3053632
5497.63567243609,4979.12427401984,3051520
1859.66555206251,7537.0289986281,3049456
940.520654680353,1507.39994975122,3036336
504.707458267838,2270.82700822553,3030192
6912.35142768477,6876.0880206655,3027216
11339.179826971,5473.48948744177,3020832
984.45698704401,9367.76802809117,3011728
10458.1313245762,8729.62637827778,2999616
9672.52983138578,2427.44985472256,2996416
9190.38062720588,7335.45289980691,2995568
5499.39262530993,3419.4938332335,2991376
10855.4671976004,3774.49489257773,2990768
5728.14214088081,8921.21178230288,2985168
2642.33744627477,950.211985492154,2970016
5778.55780869805,2840.93477878515,2964096
13153.4718248474,1707.66462100374,2962384
6847.04825359688,265.209449185973,2959056
6909.17064971498,7102.36701247561,2937088
6689.0812946652,1463.97686282446,2935984
11297.1491271948,4904.91856128174,2935248
8019.30665920516,65.5763150589992,2931360
6719.37572664862,825.262621146642,2930400
2458.49661275912,2235.08569142526,2928640
3386.26615096272,4738.87058959229,2923904
7357.83204403763,7603.87248324797,2922976
6151.45699691701,1534.32714325514,2920624
7681.84055626979,2322.64994513715,2918272
7764.91231433336,6367.71422670939,2917536
5750.22470189829,9472.30493946207,2914064
9757.13712563622,8776.53284450844,2912528
6724.34787386915,708.6601688207,2910224
10812.7048923042,7884.94163974616,2909184
7946.80757471446,5472.3575687969,2908048
13247.2141659414,6290.45367320467,2906832
7765.55101660285,2870.08668951458,2905920
4268.17082253971,6408.50365033429,2903280
2493.50740282991,5889.17195632742,2901744
5070.41968892982,406.337588812572,2891504
3930.86478167013,2732.74685917286,2887456
1224.44767977296,4394.70399224145,2881984
3830.60228159217,6040.15398483556,2881424
8519.71173975136,8899.76570149973,2876672
2954.16336204318,6889.78148240933,2872656
3585.55032060384,2031.51303008378,2872464
6232.24723274061,2306.21530590232,2869040
7395.26762991485,3924.69350132673,2865248
13135.6029242577,1404.37906845832,2862544
286.728676810063,4521.51340147143,2858976
11042.6167674769,6927.35814061022,2854192
2317.58495199693,4008.14939258217,2854048
5355.24096260965,1694.80838974075,2846656
5235.80483888344,626.656889140222,2843808
4835.25627400767,7671.56742370142,2842544
5302.07275183059,785.289952985197,2841712
5759.74784566518,1122.07033906014,2841232
7655.77091987511,7776.00585620552,2841120
4793.60806455742,6751.02292529498,2840704
5173.33428207658,529.169747567147,2839952
4724.41982396602,2138.40405378689,2834464
3310.05272065016,4850.42774792632,2834256
3715.16079692389,5914.33646166361,2832160
1301.39431157576,8336.86064037111,2829552
2642.56770479581,3026.802900054,2825776
5607.65773226485,1544.61330705931,2825552
6188.29072858003,1682.2541955024,2824496
5025.15555091637,1295.63586843098,2823408
2356.68826249079,4928.46150599047,2819216
4894.70009732259,2861.60017856391,2808784
10444.0375205186,7713.1307330585,2804816
4217.17727720502,1404.16916351145,2804336
9261.23366400774,4943.98022789683,2802336
6114.74904696763,8070.05799026885,2801984
6736.85454248326,8984.09673137035,2799312
6854.95177243065,8983.00273637219,2799296
3020.35423860599,309.302684367063,2796896
5009.14263962975,7931.79013921819,2794656
4692.59997566826,9414.83086312985,2793872
3772.8502338573,5581.89658436229,2792736
2760.05019602875,6377.60620707215,2788048
8154.93579684264,1590.2990537551,2787104
4850.13356101793,1227.72723237056,2784736
3412.50845902662,6833.93257846296,2784592
8143.48031629566,5202.59601124528,2781264
6098.09828173614,6692.35744381795,2779632
4142.10485304915,6511.53053599585,2778848
6185.55899180836,8320.19251855608,2777344
1791.18442901328,1947.25227802233,2775568
6792.62264138868,8089.59249868583,2770528
3357.01070668769,8739.83712789316,2769440
6270.20119818774,8782.66139175629,2769328
2244.06437962779,7926.9078516119,2768928
3664.69890975943,6978.86349319828,2767680
4247.57640015466,3126.85112250342,2766976
3078.85833170883,7248.54368773402,2766336
6228.75134320984,6409.78378282323,2765856
1587.7513949591,9190.27826392412,2763568
2718.92655476079,3294.10371774127,2761632
6174.81141023906,6292.20905737475,2760384
5785.13536656576,1592.02559183344,2758560
5239.85699803546,7155.03673825156,2758320
4949.78501656732,8293.04847307223,2756240
4037.49770897337,1177.2233482302,2754944
2593.62519428661,2199.7888461104,2754736
4759.960208279,2949.71279862401,2752880
6465.83792342117,8830.71536942753,2751728
5020.18343154187,3139.03321076055,2749936
